,game_id,white_player,black_player,winning_player,move_list
20,8uMzzVUj,Y-a-s-h123,ruchitoshniwal1,ruchitoshniwal1,d4 d5 e3 Nf6 Bd3 e6 Nf3 c5 c3 Nc6 Ne5 Bd6 f4 Bxe5 fxe5 Ne4 Nd2 Nxd2 Bxd2 cxd4 exd4 O-O O-O f5 exf6 Rxf6 Rxf6 Qxf6 Qh5 g6 Bg5 Qxd4+ cxd4 gxh5 Rf1 Bd7 Bf6 Rf8 Rf3 Kf7 Be5+ Ke8 Rxf8+ Kxf8 Bd6+ Kg7 Be5+ Nxe5 dxe5 h6 Kf2 Be8 b3 Bg6 Ke3 Bxd3 Kxd3 Kg6 h4 Kf5 Kd4 b6 b4 Kg4 a4 Kxh4 a5 Kg3 b5 Kxg2 axb6 axb6 Ke3 h4 Kf4 h3 Kg4 h2 Kh5 h1=Q+ Kg6 Qe1 Kf6 Qb4 Kxe6 Qxb5 Kd6 Qc5+ Ke6 Qe3 Kf6 Qxe5+ Kxe5 h5 Kxd5 h4 Kc6 h3 Kxb6 h2 Kc5 h1=R Kd4 Re1 Kd3 Kf3 Kd2 Re3 Kc2 Ke2 Kc1 Rd3 Kc2 Ke3 Kc1 Rd2 Kb1 Kd3 Kc1 Kc3 Kb1 Rc2 Ka1 Rh2 Kb1 Kb3 Kc1 Kc3 Kb1 Rg2 Ka1 Kb3 Kb1 Rg1#
21,MBMeFjDa,ruchitoshniwal1,Y-a-s-h123,ruchitoshniwal1,d4 d5 Nf3 e6 Bf4 f5 e3 Nf6 c4 c6 Nc3 Bd6 Ne5 Nbd7 h4 Ng4 Nxg4 fxg4 Qxg4 Qf6 Bxd6 e5 Qh5+ g6 Bxe5 gxh5 Bxf6 Nxf6 Be2 Rg8 g3 Bg4 Bxg4 hxg4 O-O-O h5 cxd5 cxd5 Rhe1 Rc8 Kb1 a6 e4 Kf7 Nxd5 Nxd5 exd5 Rgd8 Re5 Re8 Rde1 b5 Rxe8 Rxe8 Rxe8 Kxe8 Kc2 Kd7 Kd3 Kd6 Ke4 a5 b3 a4 bxa4 bxa4 a3 Kd7 Kf5 Kd6 Kg5 Kxd5 Kxh5 Kxd4 Kxg4 Kc3 h5 Kb3 h6 Kxa3 h7 Kb2 h8=Q+ Kb3 Qb8+ Ka2 Qb4 a3 f4
22,j8iEeDPh,ANONYMOUS,ruchitoshniwal1,ANONYMOUS,Nf3 Nc6 Nc3 e5 e4 Nf6 d4 exd4 b3 Bc5 Na4 O-O Bd2 d6 Bc3 h6 Bb2 Bb4+ c3 dxc3 Nxc3 Bxc3+ Bxc3 Nxe4 Bb2 Qe8 Be2 Na5 Bd3 Nc3+ Kf1 Nxa2 Rxa2 Nxb3 Qxb3 Qd8 Qc3 Be6 Qxg7#
23,kVnIs3Vq,ANONYMOUS,ruchitoshniwal1,ruchitoshniwal1,e4 e5 Qf3 Nf6 Qg3 d6 Qe3 Nc6 Qe2 Be7 Nf3 O-O Ng5 h6 Nxf7 Rxf7 Qd1 a6 Bc4 b5 Bxf7+ Kxf7 Nc3 Nd4 Nxb5 Bf5 c3 axb5 cxd4 exd4 exf5 Ng4 Kf1 h5 h4 Bf6 g3 c6 f3 Ne5 Qe1 d3 Qd1 Qb6 Qe2 Re8 Qxd3 Nxd3 Rg1 Qf2#
24,9ohYqLGK,ruchitoshniwal1,ANONYMOUS,ruchitoshniwal1,e4 e5 Nf3 Nf6 Nc3 Nc6 Bc4 Bc5 O-O O-O d3 d6 Bg5 Bg4 h3 h6 Bd2 Bd7 Qe2 Qe7 a3 a6 b4 b5 bxc5 bxc4 cxd6 cxd3 cxd3 cxd6 Nd5 Nd4 Nxe7+ Kh7 Qe3 Ng4 hxg4 Bxg4 Nh4 Ne6 Nhf5 Nd8 Nxh6 gxh6 Qxh6#
25,jTpLXA1h,ANONYMOUS,ruchitoshniwal1,ruchitoshniwal1,Nh3 e5 Ng5 Nf6 Nf3 Bc5 Nxe5 Qe7 Nd3 O-O Nxc5 Qxc5 Nc3 d6 Nb5 Qxb5 c4 Qe5 Qc2 Bg4 Rb1 Re8 Qd3 Nc6 Qa3 Bxe2 Qg3 Bxf1+ Qe3 Qxe3+ Kxf1 Qe1#
26,hmJlHIe4,ruchitoshniwal1,ANONYMOUS,ruchitoshniwal1,e4 e5 Nf3 c5 Bc4 b6 O-O Bb7 d3 Na6 h3 Qe7 Bg5 f6 Bh4 g5 Bxg5 Bg7 Nc3
27,cD6pt8z3,ANONYMOUS,ruchitoshniwal1,ruchitoshniwal1,e4 e5 Nf3 Nc6 Nc3 Bc5 h3 Nf6 a4 d6 d3 O-O b3 a6 Ba3 Bxa3 Rxa3 Be6 Be2 h6 h4 b5 axb5 axb5 Nxb5 Rxa3 Nxa3 Qa8 Nc4 Bxc4 dxc4 Qa5+ Nd2 Nxe4 f4 Ra8 g3 Nd4 c3 Qxc3 O-O Qe3+ Rf2 Nxd2 Kh2 Qxf2+ Kh3 Ne4 f5 Qxg3#
28,CSMKPjEu,ruchitoshniwal1,ANONYMOUS,ruchitoshniwal1,e4 e5 Bc4 Bc5 Nf3 Qe7 O-O c6 d3 Na6 Nc3 b6 h3 Bb7 Re1 Rd8 a3 f6 Bxa6 Nh6 b3 Bxa6 b4 Bd6 Bb2 O-O b5 cxb5 a4 bxa4 Nxa4 Bb8 Qd2 Qe8 Nh4 Bc7 Qc3 Qe7 Qxc7 Qb4 Reb1 Qxe4 dxe4 Rf7 Qxd8+ Rf8 Qxd7 g6 Qe6+ Kg7 Nc3 g5 Nd5 Kh8 Nf5 Nxf5 Qxf5 Rg8 Qxf6+ Rg7 Qf8+ Rg8 Qe7 Rg6 Bxe5+ Rg7 Qxg7#
29,WtiR5umK,ruchitoshniwal1,Pranav_Datta,ruchitoshniwal1,e4 e5 Nf3 d6 Bc4 Bg4 h3 Bxf3 Qxf3 Nf6 O-O Be7 d3 O-O Nc3 Nc6 Be3 d5 exd5 Nxd5 Nxd5 Nd4 Qg3 Nxc2 Bh6 g6 Qxe5 Nxa1 Qg7#
