input_sequence,target_move
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4,c6
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4,Ne7
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2,d5
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5,cxd5
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+,Nbc6
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+,Ng6
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3,O-O
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6,hxg6
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6,Qd7
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O,Nxd4
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3,Nxc2
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2,Re8
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3,f5
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5,a6
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3,b5
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3,Qe7
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+,Kf8
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5,Qd6
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1,Re2
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3,Rc2
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3 Rc2 Rxd6,Ke8
e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3 Rc2 Rxd6 Ke8 Qxg7,Re2
Nf3,b6
Nf3 b6 g3,Bb7
Nf3 b6 g3 Bb7 Bg2,c5
Nf3 b6 g3 Bb7 Bg2 c5 O-O,d5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3,d4
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1,g6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4,Bg7
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2,Nh6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4,O-O
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5,f6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6,Bxh6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3,Nc6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2,f5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5,Qe8
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2,Bg7
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5,Bh6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4,Rd8
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6,b5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8,bxc4
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6,cxd3
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3,Nb4
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2,Bc8
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5,e6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4,Rd5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5,exd5
